complaint_id,date_received,product,sub_product,issue,sub_issue,company,state,narrative,company_response,consumer_disputed
9995808,2024-08-30,Credit card,Store credit card,Fees or interest,Problem with fees,"Bread Financial Holdings, Inc.",NC,"Good morning, Dispute : date of interest charge was on XX/XX/XXXX Original purchase date XX/XX/XXXX Comenity Bank Amount : XXXX The dispute is simple : the minimum payment that was applied to my account did not cover the remaining {$66.00} on the end date of XX/XX/XXXX. The account should have been closed XXXX XXXX XXXX. My understanding was this account was already full filled and had been paid. If the minimum payments had not been adjusted, this account would have been paid in full on the appropriate date.

The original transaction was XX/XX/XXXX. My understanding is that this account should have been reconciled and closed 18 months later. However, your department changed the dates to an arbitrary date of XX/XX/XXXX. My understanding was that the plan was up 18 months after the purchase date. Now, 30 months later, the plan ends, leaving me with XXXX in interest. Please also review previous documents of the zero-interest start date, not beginning when item was purchased. This account should been closed out, however, 30 month later, I am not receiving a XXXX interest charge. The remaining balance of XXXX has already been paid.

If you purchased a loan for 60 months for an item. That product should be paid off at that 60 month mark. If you then receive, another bill 12 months later on something that had already ended. How would you know this had a different end date /remaining balance then what you originally signed the loan for?

Working with this company has been an ongoing issue. I would like this resolved. Thank you for your time.",Closed with explanation,N/A
9995789,2024-09-02,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,JPMORGAN CHASE & CO.,CA,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely.

JPMCB CARD XXXX",Closed with explanation,N/A
9995748,2024-09-02,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,DISCOVER BANK,NY,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely.

DISCOVER BANK XXXX",Closed with non-monetary relief,N/A
9995561,2024-09-02,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"CITIBANK, N.A.",MA,"This is the CFPB complaint # XXXX or # XXXX regarding the CITI illegal and abusive actions with respect to my CITI THANKYOU card XXXX, This also is my request of the CFPB thorough investigation of the CITI illegal and abusive practices and my plea to protect me, a senior citizen, from the CITI unfair and abusive practices.

XXXX. ADVERSE ACTION FOR NO REASON, WITH NO CAUSE, AND WITHOUT A LEGALLY REQUIRED XXXX  DAYS WARNING, In XXXX, XXXX, Citi took an adverse action without giving me any legally required XXXX  day warning and for absolutely no cause and with XXXX and only purpose - to ruin my business and to take advantage of a XXXX XXXX, because the thought they could,.

They did it immediately upon receipt of my {$480.00}, higher than a MIN required payment, And they did it under the name of "" Update ''. as per the attached Citi letter informing me of their truly evil and malicious action that ruined my business deal AND my credit rating.

For no reason and without any cause - no missed or late payments, they reduced my credit limit by {$4000.00} and deprived me of all access to cash.
Because it was intentionally mislabelled "" UPDATE '', I did not even notice it until my May statement.

Their irresponsible, unintelligent, and downright abusive actions created lots of problems for me and my business transactions, planned to pay off my credit card debt, It intentionally ruined my very good credit rating for no reason at all. AND WITH WHAT PURPOSE?

To extinguish my ability to borrow from any and all creditors? And to make this card totally unusable by removing my cash access?? WHO NEEDS A CREDIT CARD WITH WHICH ONE CAN DO NOTHING, BUT PAY THEM {$450.00} EACH MONTHS ON A BALANCE THAT INCLUDES UNAUTHORIZED CHARGES THEY REFUSE TO REMOVE??

In their recent reply to my CFPB complaint # XXXX or XXXX about this matter, ( please see attached ) Citi wrote that their truly XXXX  decision was irreversible and that they can do nothing about their failure to abide by their own terms of agreement, and a lot of other incoherent nonsense, and offered me to apply for another credit card.

IS IT SO? If this is not an intentional customer abuse and pushing me into bankruptcy, I do not know what is, Of course, in the greedy banks "" wisdom '' they can easily take every advantage of a senior individual with their "" great strategies '' of cheating and stealing And, of course, having put me into the black hole, they can not reduce the XXXX  % interest rate, because, so they write, it is a fair one.
LAUGHING OUT LOUD, They must immediately return this card to the terms we had agreed on, Then, if they have any legally valid reason, they must provide a XXXX day notice for any adverse action they may wish to take, Alternatively, they can completely pay off and close this account.

XXXX. ACCEPTANCE OF THE UNAUTHORIZED CHARGES AS A MATTER OF PRACTICE IN ALL MY ACCOUNTS ( see evidence in my previous complaints ), As per the previous XXXX CFPB complaints and the infinite messages and letters to the CITI Executive Office XXXX XXXX XXXX WAS SPECIFICALLY AND REPEATEDLY INSTRUCTED TO REMOVE THIS CARD FROM THEIR SYSTEM AND NOT TO CHARGE ANYTHING TO IT. ( It has been explained again and again that XXXX, an Ecuadorian company acts in accordance with their own business practices, which include keeping in the system any and all financial information that gets into their hands, and not removing it despite any requests and demands, This is how, they say, they prevent fraud, ) Yet, XXXX illegally charged to the card, whose data they had effectively stolen, And CITI, who have been provided again and again, with evidence of my instructing XXXX  to charge to a different credit card, insists that, yes, they will process whatever fraudulent charge and then demand evidence that the charge was fraudulent, And then, not pay any attention to any and all evidence and side with the fraudsters, demanding that their customers pay for fraud and for the CITI incompetence and legal and financial illiteracy, My disputes were filed XX/XX/XXXX, CITI has been bombarding with the message from bots, who did not even see XXXX different disputes as such, but as XXXX dispute, Took around XXXX hours to straighten that part our, then their began bombarding me with demands of evidence, WHAT EVIDENCE? THE CHARGES HAD NOT BEEN AUTHORIZED AND MUST HAVE BEEN REMOVED, But not CITI, Since all this has been described in the XXXX previous CFPB complaints, and millions of letters sent directly to the CITI Executive Office, it all is on the record for the CFPB investigations and, hopefully, putting an end to the CITI illegal practices, Suffice it here to say that in the Citi reply of XX/XX/XXXX to my preceding CFPB complaint ( see attached ), CITI tells that the disputes are still under their "" investigation ''. AND, the very same day, they write to me their letters, telling me that the disputes have been "" resolved '' to the satisfaction of the fraudulent XXXX who had billed the card, whose data they had stolen and which they had been repeatedly instructed not to use. Please see those letters also attached. THIS IS HOW CITI OPERATES - LIES AND MORE LIES, DECEPTION AND MORE DECEPTION. EMPLOYING AN XXXX OF XXXX  ROBOTS BEFORE FINALLY PASSING ANY MATTER TO AN XXXX OF ILLITERATE AND INCOMPETENT EMPLOYEES, No consumer can be held responsible for the fraudulent. unauthorized charges, Doing so is fraud and theft, and breaking of the legal agreement, THE CHARGES IN QUESTION HAVE BEEN : XX/XX/XXXX {$36.00} ; XX/XX/XXXX XXXX ; XX/XX/XXXX XXXX ; XX/XX/XXXX XXXX. THEY MUST BE IMMEDIATELY REFUNDED,.
XXXX. THE CITI PRACTICE OF DEMANDING THE AMOUNTS IN DISPUTE AS MIN PAYMENTS MUST BE ALSO INVESTIGATED, XXXXHAVING MADE THE CARD TOTALLY UNUSABLE TO ME, THEY HAVE NO RIGHT TO DEMAND FROM ME THEIR XXXX  % INTEREST PAYMENT, They broke our agreement, they must be financially responsible.

XXXX. CITI MUST STOP THEIR ILLEGAL INTENTIONALLY MISLEADING OFFERS OF LONG TERM LOANS, Each of my credit cards has those offers plastered in MIN XXXX places. But they do not give any information about interest rates, etc, They ask you to begin the application without any data about the loans, Then, even though I never finished XXXX application, because they would not give the interest rate, nor amounts, they sent me a letter that they could not give me a loan, WELL, I HAVE NOT APPLIED FOR XXXX, frauds and thieves, XXXX. CITI must provide SMS/Text access as a proof identity, instead of insisting on phone calls that being in XXXX, XXXX can not either receive or make. THEY MUST, PROVIDE THE PROMISED SERVICE TO CONSUMERS, a very expensive service at that.
MY FEEDBACK",Closed with non-monetary relief,N/A
9995380,2024-09-02,Credit card,General-purpose credit card or charge card,"Other features, terms, or problems",Problem with rewards from credit card,JPMORGAN CHASE & CO.,VA,"I had to pay out of pocket for a benefit that was supposed to be included in my credit card. I call the customer service and they said there were changes. However, I never received any notification about changes to these perks, as you can see from the attached Letters and notice for XXXX. A bank agent mentioned that this change was communicated through an account statement, but this is misleading since account statements are meant for financial details and payment deadlines, not to hide changes to card benefits in fine print. I am requesting a refund in credit card or compensation for the same amount.",Closed with explanation,N/A
9995006,2024-09-02,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,"I, XXXX XXXX, as a federally protected consumer and per the Fair Credit Reporting Act ( 15 USC 1681 ) I am now opting out of any and all authorizations that I may have given you written, unwritten, oral, verbal or nonverbal per U.S.C 6802 effective immediately and indefinitely.

BANK OF AMERICA XXXX",Closed with explanation,N/A
9995001,2024-09-02,Credit card,General-purpose credit card or charge card,Trouble using your card,Credit card company won't increase or decrease your credit limit,TRUIST FINANCIAL CORPORATION,TN,"I am writing to dispute a decrease in my credit limit, which I believe was inaccurately implemented due to a letter sent out regrading the mistake as a result of a company merger from BB & T. This matter has come to my attention through a notification from your company, and I would like to clarify the circumstances surrounding this decision.

I have been a loyal customer of your company for several years, and I have always maintained a good standing with my credit account. However, I recently received a notification that my credit limit has been decreased, which has had a negative impact on my credit utilization ratio and overall credit score.

Upon further investigation, I discovered that the decrease in my credit limit was a result of a letter sent out mistakenly due to a company merger. This information was inaccurate and has unfairly affected my credit standing without any valid reason or basis. As a consumer, I have the right to accurate and transparent information regarding changes to my credit account, and I believe that this decrease was not justified.

I kindly request that you review the circumstances surrounding the inaccurate decrease in my credit limit and take the necessary steps to restore my original credit limit to the XXXX limit. I understand that company mergers can result in operational changes, but it is essential that these changes do not unfairly impact loyal customers like myself.

I expect a written response outlining the actions you will take to address this dispute and restore my credit limit back to its original status within 30 days. Failure to do so may result in further escalation of this matter to the appropriate regulatory authorities.

Thank you for your prompt attention to this matter. I look forward to a swift resolution and the restoration of my credit limit.

Sincerely, XXXX XXXX",Closed with explanation,N/A
9994966,2024-09-02,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,CAPITAL ONE FINANCIAL CORPORATION,OH,"I must bring to your attention that following my attempt to tender payment on the account in question, Capital One unilaterally closed my account without any prior notice or warning. I question how access to my own credit under the open-ended consumer credit plan, as defined in 15 U.S.C. 1602 ( g ), can be denied in such a manner. Moreover, Capital One has unjustly reported information to all three consumer reporting agencies without obtaining my written permissible purpose, in direct violation of the Fair Credit Reporting Act.

Even if Capital One asserts that the terms and conditions permit such actions, I maintain that these terms are inherently fraudulent and deceptive due to the lack of proper disclosures that I never received under the Truth in Lending Act ( 15 U.S.C. 1605 ). Capital One has also failed to meet the requirements outlined in 15 U.S.C. 6801 and 6802, which protect my right to opt-out of having my information shared or reported to any third party.

By engaging in these practices, Capital One N.A. has not only harmed me as a consumer but has also failed to respond to the correspondence I previously sent. This has subjected me to what can only be described as wage and debt slavery, as the bank has deceptively and intentionally misappropriated the meanings of critical terms such as "" payment, '' "" promise to pay, '' and "" pay, '' as defined in Black 's Law Dictionary, 4th Edition. According to this legal authority, "" payment '' simply refers to the fulfillment of an obligation.

In our modern financial system, a "" promise to pay '' has come to mean that collateral securities are created each time credits on the account are used, and these negotiable instruments are endorsed and utilized by banks and other financial institutions to access the Federal Reserves discount window. This process effectively tricks the consumer into believing that a debt exists, despite the absence of any actual gold, silver, or other materials of value as required by Article 1, Section 10 of the United States Constitution.

Given that Federal Reserve notes are themselves debt instruments, I must ask Capital One : if a debt is allegedly owed, why demand payment with another form of debt? Legally, a debt can only be "" paid '' with money, not with another debt instrument. I am prepared to submit endorsed negotiable instruments as lawful tender of payment, in accordance with XXXX Article XXXX. These instruments will be stamped, signed, and endorsed to fulfill any supposed obligation attributed to XXXX XXXX XXXX, thus balancing Capital Ones public ledger.

It is Capital Ones responsibility, as the holder in due course, to apply the endorsed instrument as payment, earn interest from the collateral securities generated by my use of the card, and, if desired, redeem the instrument for Federal Reserve notes. This arrangement should ensure that I, as the beneficiary in this relationship, continue to have access to the card and benefit from higher credit lines and limits.",Closed with non-monetary relief,N/A
9994775,2024-08-31,Credit card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,UNITED SERVICES AUTOMOBILE ASSOCIATION,MD,"XXXX XX/XX/XXXX : I contacted USAA to dispute their practice of burying a higher interest rate balance beneath a lower interest rate balance on my credit card in violation of the Credit Card Act of XXXX. USAA claims that because the balance was a cash advance, that they are not beholden to the rule of allowing consumers to pay off higher interest rate balances. USAA also opened a complaint for me XXXX.",Closed with explanation,N/A
9994744,2024-09-02,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,"two months ago I open two Bank of America credit cards by mistake. I open one extra one. The idea was just to open one as soon as I figure it out then I called Bank of America and the agent told me in a recorder line that she was 100 % sure that closing one of the credit cards whiting 30 days of opening will not damage my credit score, now I find out that it went down XXXX points on my credit score",Closed with explanation,N/A
